epoch,loss,mae,rmse,f1_score
1,967.2932434082031,3756.914055101799,2291.185253015645,0.0009487666034155598
2,935.884765625,3743.6923828125,2285.5790261656857,0.0
3,993.3194274902344,3736.5004438920455,2282.2936164120406,0.0
4,905.6233520507812,3727.7723869554925,2278.4331770811805,0.0
5,903.4512939453125,3717.239080255682,2273.8768089815776,0.0
6,919.2354736328125,3704.9376035748105,2268.6010273320694,0.0
7,812.8641052246094,3690.966190222538,2262.596480447482,0.0
8,892.2303771972656,3675.449152166193,2256.0362095471514,0.0
9,809.2520141601562,3658.5835700757575,2248.918282062276,0.0
10,865.4873962402344,3639.7287449692235,2240.875522214611,0.0
11,931.9073181152344,3619.0902876420455,2232.0007127727763,0.0
12,928.8003845214844,3596.4844859730115,2222.320306673758,0.0
13,864.9672241210938,3571.807136304451,2211.801356908943,0.0005224660397074191
14,786.3444519042969,3545.5938017874055,2200.4095262776273,0.0
15,908.2457275390625,3517.5627959280305,2188.3961991016217,0.0
16,847.67431640625,3488.498475970644,2175.8459100410637,0.0
17,892.3617553710938,3457.3017134232955,2162.263611182139,0.0
18,886.2000427246094,3423.8316465435605,2147.743481099654,0.0
19,854.751220703125,3388.110499526515,2132.3101890729317,0.0
20,787.1790161132812,3350.5058445785985,2115.9654415892524,0.0
21,910.2027893066406,3311.8540261008525,2098.7610558843926,0.0
22,879.3335876464844,3272.069054805871,2080.8646476448635,0.0
23,822.5474853515625,3230.083066998106,2062.0233149785554,0.0
24,832.8829956054688,3187.187559185606,2042.178311895354,0.0
25,864.4094543457031,3143.1142356178975,2021.3176170733063,0.0
26,842.1242980957031,3097.3581986860795,1999.5324226155747,0.0
27,713.7724914550781,3050.661191998106,1976.9938458848744,0.0
28,705.190673828125,3003.690518465909,1954.177318572765,0.0
29,769.271240234375,2957.835944898201,1931.370305657555,0.0
30,779.3910522460938,2910.3281989820075,1907.6992488970645,0.0
31,785.6995239257812,2861.613044507576,1882.9674195350017,0.0004887585532746823
32,715.9520568847656,2813.7156575520835,1857.2699049949633,0.0
33,656.4297180175781,2766.976569898201,1830.9251925204537,0.0
34,672.9591064453125,2721.2194380326705,1804.2571920742107,0.0
35,660.9130859375,2674.2951512192235,1777.3526193002147,0.0005224660397074191
36,654.4065551757812,2625.959480054451,1750.2080049542856,0.0
37,607.1614074707031,2575.8249955610795,1722.9382034856337,0.0
38,575.8980712890625,2523.556218927557,1695.2599425242352,0.0
39,561.185791015625,2469.6533647017045,1666.9606846720844,0.0
40,611.8883056640625,2414.962609493371,1637.9050875302805,0.0
41,596.35498046875,2358.958836410985,1608.9840809427772,0.0010141987829614604
